geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
118,Wexford Village Homeowners Association,2506,84.3,362763,1992,29,11,1992,15.6,6.3,19.7,22.5,0,2019
145,Oakbridge Community Neighborhood Association,343,81.5,276191,1984,4,3,1984,6.5,9.1,19.7,26.2,0,2019
363,Cherokee Garden Condominium Association,783,95.7,"N/A""""",1985,2,1,1985,49.3,7.9,1.9,2.2,0,2019
131,Parkwood Hills Community Association,1274,87.5,391221,1972,28,31,1972,18.3,6.0,23.5,28.9,11,2019
120,Richmond Hill Homeowners Association,395,85.3,374235,1997,1,3,1997,11.1,7.3,26.3,39.1,0,2019
138,"Hill Farms, University Neighborhood Association",2942,76.4,379387,1960,35,24,1960,20.5,7.0,19.0,22.2,1,2019
91,Lake View Hill Neighborhood Association,1192,69.4,217010,1961,24,27,1961,12.9,5.6,22.0,26.1,10,2019
97,Sherman Neighborhood Association,2835,72.1,188534,1954,161,245,1954,11.0,6.2,19.6,20.8,27,2019
85,Sherman Village Neighborhood Association,2283,82.2,199919,1966,15,16,1966,19.3,6.5,19.8,21.3,3,2019
134,Sauk Creek Neighborhood Association,1029,79.5,405926,1992,19,11,1992,11.6,7.0,23.2,29.6,1,2019
104,Burke Heights Neighborhood Association,607,67.3,189817,1973,22,335,1973,13.1,6.0,22.6,26.1,7,2019
124,Stonefield Woods-Ridge Neighborhood Association,235,87.3,453406,1990,1,3,1990,17.5,7.1,18.2,24.9,0,2019
144,Tamarack Trails Community Condominium Association,464,58.0,269072,1978,1,5,1978,25.5,6.7,26.4,30.1,1,2019
116,University Apartments Assembly,2643,29.9,"N/A""""",1963,2,0,1963,0.5,4.0,26.8,39.8,0,2019
115,Tenney-Lapham Neighborhood Association,4149,87.1,371040,1930,225,163,1930,3.4,6.7,9.5,9.8,43,2019
117,Spring Harbor Neighborhood Association,2224,78.0,400130,1960,25,31,1960,12.2,4.4,17.4,20.7,6,2019
170,Stone Meadows Neighborhood Association,3118,78.8,274151,2000,16,32,2000,6.3,6.8,27.4,42.9,3,2019
177,Summit Woods Neighborhood Association,721,85.1,271409,1966,9,13,1966,12.7,5.6,14.2,16.6,1,2019
129,Sunset Village Neighborhood Association,1842,87.4,320220,1948,53,28,1948,13.0,6.4,17.7,20.3,7,2019
160,Prairie Hills Neighborhood Association,3350,57.2,231517,1977,57,63,1977,6.3,6.0,30.1,34.4,11,2019
153,Burr Oaks Neighborhood Association,1745,20.1,147335,1962,123,102,1962,3.8,5.5,30.4,35.3,24,2019
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,188832,1986,155,44,1986,7.0,5.9,16.6,18.9,18,2019
114,Marquette Neighborhood Association,4909,88.8,405640,1917,251,161,1917,4.7,6.4,12.8,15.4,43,2019
147,Westmorland Neighborhood Association,2207,91.7,341626,1951,26,24,1951,15.0,5.9,22.2,28.9,2,2019
159,Meadowood Neighborhood Association,2962,68.6,222460,1964,29,59,1964,12.6,6.1,25.3,29.7,14,2019
362,Crawford-Marlborough-Nakoma Neighborhood Association,2475,89.8,461704,1946,35,54,1946,13.8,6.1,24.3,33.1,2,2019
169,Orchard Ridge Neighborhood Association,2262,87.6,276737,1964,55,128,1964,21.3,6.5,17.4,21.0,9,2019
105,Eken Park Neighborhood Association,2505,78.3,184764,1948,119,46,1948,6.8,6.5,15.0,16.3,17,2019
166,Glacier Ridge Neighborhood Association,1385,83.3,297918,2002,2,13,2002,2.7,7.0,27.9,39.7,0,2019
133,Glen Oak Hills Neighborhood Association,844,87.7,258612,1956,15,2,1956,16.7,5.6,14.9,18.1,2,2019
139,Glendale Neighborhood Association,2233,79.1,216202,1958,43,77,1958,16.4,5.9,19.8,24.7,16,2019
355,Indian Springs Neighborhood Association,1654,53.9,221488,1988,24,27,1988,3.9,6.4,29.0,35.4,2,2019
123,Lake Edge Neighborhood Association,2380,88.5,205305,1951,63,42,1951,12.9,4.8,18.0,21.7,11,2019
101,Ridgewood Neighborhood Association,3992,57.5,251734,1995,42,91,1995,3.8,7.8,27.0,35.0,5,2019
351,Rocky Bluff Neighborhood Association,1038,76.8,291312,1960,26,18,1960,5.6,5.4,9.6,11.1,2,2019
178,Leopold Neighborhood Association,1106,45.0,"N/A""""",1981,46,51,1981,5.3,6.7,27.1,29.3,22,2019
358,Liberty Place Neighborhood Association,432,65.7,271318,2005,2,6,2005,0.7,8.0,30.7,45.0,0,2019
135,Junction Ridge Neighborhood Association,1628,80.6,304156,2000,105,80,2000,30.9,6.5,10.5,10.3,5,2019
141,Greenbush Neighborhood Association,2878,88.8,328160,1925,106,133,1925,3.1,6.5,5.6,9.0,40,2019
162,Highland Manor Home Owners Association,344,61.5,"N/A""""",1971,5,21,1971,16.5,6.0,20.0,21.5,1,2019
171,Allied Dunn's Marsh Neighborhood Association,2356,32.1,168392,1964,46,89,1964,4.1,5.9,34.6,39.6,25,2019
89,Whitetail Ridge,507,76.2,226573,1995,4,2,1995,2.7,7.8,25.4,34.3,0,2019
113,Rolling Meadows Neighborhood Association,2366,84.1,219312,1966,44,43,1966,15.0,6.3,20.7,26.8,10,2019
349,Majestic Oaks Neighborhood Association,467,86.7,"N/A""""",1935,21,21,1935,23.2,9.8,8.8,8.2,2,2019
