State,FireCouncil,fcName,Link
Alabama,Yes,Alabama Prescribed Fire Council,http://www.alpfc.org/
Alaska,No,,
Arizona,Yes,,
Arkansas,Yes,Arkansas Prescribed Fire Council,https://www.facebook.com/ArPrescribedFireCouncil/
California,Regional,"Central Coast Rx Fire Council,
Northern California Prescribed Fire Council,
Southern Sierra Prescribed Fire Council","http://www.centralcoastrxfirecouncil.org/
http://www.norcalrxfirecouncil.org/
https://sites.google.com/site/sosierrapfc/home"
Colorado,Yes,Colorado Prescribed Fire Council,http://www.coprescribedfire.org/
Connecticut,No,,
Delaware,No,,
Florida,Regional,"North Florida Prescribed Fire Council,
Central Florida Prescribed Fire Council,
South Florida Interagency Fire Management Council","https://www.facebook.com/northfloridaPFC/
https://www.facebook.com/pg/CFPFCouncil/posts/
"
Georgia,Yes,Georgia Prescribed Fire Council,http://www.garxfire.com/
Hawaii,No,,
Idaho,No,,
Illinois,Yes,Illinois Prescribed Fire Council,https://www.illinoisprescribedfirecouncil.org/
Indiana,Yes,Indiana Prescribed Fire Council,https://inpfc.org/
Iowa,No,,
Kansas,Yes,Kansas Prescribed Fire Council,https://www.kglc.org/kansas-prescribed-fire-council.cfm
Kentucky,Yes,Kentucky Prescribed Fire Council,https://www.kyfire.org/
Louisiana,Yes,Louisiana Prescribed Fire Council,https://www.facebook.com/louisianaprescribedfirecouncil/
Maine,No,,
Maryland,No,,
Massachusetts,No,,
Michigan,Yes,Michigan Prescribed Fire Council,https://www.firecouncil.org/
Minnesota,Yes,Minnesota Prescribed Fire Council,https://www.facebook.com/minnesotarxfire/
Mississippi,Yes,Mississippi Prescribed Fire Council,https://mspfc.wordpress.com/
Missouri,Yes,Missouri Prescribed Fire Council,https://moprescribedfire.org/
Montana,No,,
Nebraska,Yes,Nebraska Prescribed Fire Council,https://www.nefirecouncil.org/
Nevada,Yes,Nevada Prescribed Fire Alliance,https://www.facebook.com/pages/category/Community-Organization/Nevada-Prescribed-Fire-Alliance-1196878193757322/
New Hampshire,Yes,New Hampshire Prescribed Fire Council,https://extension.unh.edu/tags/prescribed-fire
New Jersey,No,,
New Mexico,Yes,New Mexico Prescribed Fire Council,https://nmrxfire.nmsu.edu/
New York,No,,
North Carolina,Yes,North Carolina Prescribed Fire Council,http://www.ncprescribedfirecouncil.org/
North Dakota,No,,
Ohio,Yes,Ohio Prescribed Fire Council,https://www.ohioprescribedfire.org/
Oklahoma,Yes,Oklahoma Prescribed Fire Council,http://www.oklahomaprescribedfirecouncil.okstate.edu/index.html
Oregon,Yes,Oregon Prescribed Fire Council,https://www.oregonrxfire.org/
Pennsylvania,Yes,Pennsylvania Prescribed Fire Council,https://paprescribedfire.org/
Rhode Island,No,,
South Carolina,Yes,South Carolina Prescribed Fire Council,https://scpfc.weebly.com/
South Dakota,No,,
Tennessee,Yes,Tennessee Prescribed Fire Council,https://www.tnpfc.org/
Texas,Regional,"Central Texas Prescribed Fire Council
Prescribed Burn Alliance of Texas","https://www.centexrxfire.org/
https://pbatexas.org/"
Utah,Yes,Utah Prescribed Fire Council,https://forestry.usu.edu/utah-prescribed-fire-council/who-we-are
Vermont,No,,
Virginia,Yes,Virginia Prescribed Fire Council,https://www.vafirecouncil.com/
Washington,Yes,Washington Prescribed Fire Council,http://waprescribedfire.org/
West Virginia,No,,
Wisconsin,Yes,Wisconsin Prescribed Fire Council,https://prescribedfire.org/
Wyoming,Yes,Wyoming Prescribed Fire Council,https://wyoextension.org/wyprescribedfire/
